,word,tf_idf,sponsor_id
160,bifia program,0.192886005037572,B000755
161,bifia,0.192886005037572,B000755
162,project,0.17757490053814193,B000755
163,secured loan,0.14287590491188082,B000755
164,assistant secretary,0.1294623905681643,B000755
165,assistant,0.11271380473453932,B000755
166,hydrogen,0.10557276719867978,B000755
167,line credit,0.09678690332740314,B000755
168,obligor,0.09647592488082851,B000755
169,credit,0.08506020406661798,B000755
170,bifia program,0.192886005037572,B000825
171,bifia,0.192886005037572,B000825
172,project,0.17757490053814193,B000825
173,secured loan,0.14287590491188082,B000825
174,assistant secretary,0.1294623905681643,B000825
175,assistant,0.11271380473453932,B000825
176,hydrogen,0.10557276719867978,B000825
177,line credit,0.09678690332740314,B000825
178,obligor,0.09647592488082851,B000825
179,credit,0.08506020406661798,B000825
180,bifia program,0.192886005037572,B000944
181,bifia,0.192886005037572,B000944
182,project,0.17757490053814193,B000944
183,secured loan,0.14287590491188082,B000944
184,assistant secretary,0.1294623905681643,B000944
185,assistant,0.11271380473453932,B000944
186,hydrogen,0.10557276719867978,B000944
187,line credit,0.09678690332740314,B000944
188,obligor,0.09647592488082851,B000944
189,credit,0.08506020406661798,B000944
190,bifia program,0.192886005037572,B001135
191,bifia,0.192886005037572,B001135
192,project,0.17757490053814193,B001135
193,secured loan,0.14287590491188082,B001135
194,assistant secretary,0.1294623905681643,B001135
195,assistant,0.11271380473453932,B001135
196,hydrogen,0.10557276719867978,B001135
197,line credit,0.09678690332740314,B001135
198,obligor,0.09647592488082851,B001135
199,credit,0.08506020406661798,B001135
200,bifia program,0.192886005037572,B001223
201,bifia,0.192886005037572,B001223
202,project,0.17757490053814193,B001223
203,secured loan,0.14287590491188082,B001223
204,assistant secretary,0.1294623905681643,B001223
205,assistant,0.11271380473453932,B001223
206,hydrogen,0.10557276719867978,B001223
207,line credit,0.09678690332740314,B001223
208,obligor,0.09647592488082851,B001223
209,credit,0.08506020406661798,B001223
210,bifia program,0.192886005037572,B001224
211,bifia,0.192886005037572,B001224
212,project,0.17757490053814193,B001224
213,secured loan,0.14287590491188082,B001224
214,assistant secretary,0.1294623905681643,B001224
215,assistant,0.11271380473453932,B001224
216,hydrogen,0.10557276719867978,B001224
217,line credit,0.09678690332740314,B001224
218,obligor,0.09647592488082851,B001224
219,credit,0.08506020406661798,B001224
220,bifia program,0.192886005037572,B001230
221,bifia,0.192886005037572,B001230
222,project,0.17757490053814193,B001230
223,secured loan,0.14287590491188082,B001230
224,assistant secretary,0.1294623905681643,B001230
225,assistant,0.11271380473453932,B001230
226,hydrogen,0.10557276719867978,B001230
227,line credit,0.09678690332740314,B001230
228,obligor,0.09647592488082851,B001230
229,credit,0.08506020406661798,B001230
230,bifia program,0.192886005037572,B001236
231,bifia,0.192886005037572,B001236
232,project,0.17757490053814193,B001236
233,secured loan,0.14287590491188082,B001236
234,assistant secretary,0.1294623905681643,B001236
235,assistant,0.11271380473453932,B001236
236,hydrogen,0.10557276719867978,B001236
237,line credit,0.09678690332740314,B001236
238,obligor,0.09647592488082851,B001236
239,credit,0.08506020406661798,B001236
240,bifia program,0.192886005037572,B001243
241,bifia,0.192886005037572,B001243
242,project,0.17757490053814193,B001243
243,secured loan,0.14287590491188082,B001243
244,assistant secretary,0.1294623905681643,B001243
245,assistant,0.11271380473453932,B001243
246,hydrogen,0.10557276719867978,B001243
247,line credit,0.09678690332740314,B001243
248,obligor,0.09647592488082851,B001243
249,credit,0.08506020406661798,B001243
250,bifia program,0.192886005037572,B001248
251,bifia,0.192886005037572,B001248
252,project,0.17757490053814193,B001248
253,secured loan,0.14287590491188082,B001248
254,assistant secretary,0.1294623905681643,B001248
255,assistant,0.11271380473453932,B001248
256,hydrogen,0.10557276719867978,B001248
257,line credit,0.09678690332740314,B001248
258,obligor,0.09647592488082851,B001248
259,credit,0.08506020406661798,B001248
260,bifia program,0.192886005037572,B001251
261,bifia,0.192886005037572,B001251
262,project,0.17757490053814193,B001251
263,secured loan,0.14287590491188082,B001251
264,assistant secretary,0.1294623905681643,B001251
265,assistant,0.11271380473453932,B001251
266,hydrogen,0.10557276719867978,B001251
267,line credit,0.09678690332740314,B001251
268,obligor,0.09647592488082851,B001251
269,credit,0.08506020406661798,B001251
270,bifia program,0.192886005037572,B001257
271,bifia,0.192886005037572,B001257
272,project,0.17757490053814193,B001257
273,secured loan,0.14287590491188082,B001257
274,assistant secretary,0.1294623905681643,B001257
275,assistant,0.11271380473453932,B001257
276,hydrogen,0.10557276719867978,B001257
277,line credit,0.09678690332740314,B001257
278,obligor,0.09647592488082851,B001257
279,credit,0.08506020406661798,B001257
280,bifia program,0.192886005037572,B001260
281,bifia,0.192886005037572,B001260
282,project,0.17757490053814193,B001260
283,secured loan,0.14287590491188082,B001260
284,assistant secretary,0.1294623905681643,B001260
285,assistant,0.11271380473453932,B001260
286,hydrogen,0.10557276719867978,B001260
287,line credit,0.09678690332740314,B001260
288,obligor,0.09647592488082851,B001260
289,credit,0.08506020406661798,B001260
290,bifia program,0.192886005037572,B001261
291,bifia,0.192886005037572,B001261
292,project,0.17757490053814193,B001261
293,secured loan,0.14287590491188082,B001261
294,assistant secretary,0.1294623905681643,B001261
295,assistant,0.11271380473453932,B001261
296,hydrogen,0.10557276719867978,B001261
297,line credit,0.09678690332740314,B001261
298,obligor,0.09647592488082851,B001261
299,credit,0.08506020406661798,B001261
300,bifia program,0.192886005037572,B001267
301,bifia,0.192886005037572,B001267
302,project,0.17757490053814193,B001267
303,secured loan,0.14287590491188082,B001267
304,assistant secretary,0.1294623905681643,B001267
305,assistant,0.11271380473453932,B001267
306,hydrogen,0.10557276719867978,B001267
307,line credit,0.09678690332740314,B001267
308,obligor,0.09647592488082851,B001267
309,credit,0.08506020406661798,B001267
310,bifia program,0.192886005037572,B001270
311,bifia,0.192886005037572,B001270
312,project,0.17757490053814193,B001270
313,secured loan,0.14287590491188082,B001270
314,assistant secretary,0.1294623905681643,B001270
315,assistant,0.11271380473453932,B001270
316,hydrogen,0.10557276719867978,B001270
317,line credit,0.09678690332740314,B001270
318,obligor,0.09647592488082851,B001270
319,credit,0.08506020406661798,B001270
320,bifia program,0.192886005037572,B001274
321,bifia,0.192886005037572,B001274
322,project,0.17757490053814193,B001274
323,secured loan,0.14287590491188082,B001274
324,assistant secretary,0.1294623905681643,B001274
